f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,target
,A,666,3578,1992,-19929,152,E,-4159,A,326,M,-5546,17424,-1192,-3896,-2726,419,-5207,B,E,E,4377,A,-13416,J,B,-14921,6777,29612,546,6352,-3965,A,14068,A,9155,-48845,-663,341,D,E,A,8326,-515,C,B,309,-3656,-3249,18917,-91,1606,51332,9199,12884,-1007,6916,-456,36784,22563,11145,4198,A,-2590,-381,9857,261,I,B,0
25893,H,-966,-5749,-3080,,-309,C,6380,A,-680,A,8200,-27279,2020,6677,3919,281,8390,B,A,A,-7797,A,20486,G,A,23374,-10542,-45384,-993,-10446,5662,I,-21296,D,-14013,76087,934,-852,F,A,E,-12782,630,P,A,-898,5723,4692,-29470,-288,-1955,-79315,-14730,-19271,880,-11261,1035,-57106,,-17255,-6627,B,4077,481,-15647,404,A,I,0
1236,I,-9,-279,-53,1052,-227,A,231,A,-252,H,333,-926,291,1060,,233,119,B,A,,-444,A,601,A,B,721,-253,-714,356,-431,-271,H,-655,A,-429,2576,-174,-296,B,L,G,-112,,L,A,-113,274,-231,,-479,376,-1879,-609,-122,,-469,-46,-1335,-261,,227,A,-221,60,-435,311,J,M,0
-39436,K,1346,8709,4928,-48146,95,D,-9702,B,1161,F,-12703,42165,-2329,-8974,-6149,,-13014,,F,C,11147,A,-31026,H,E,-35561,15321,70661,302,15454,-9681,G,33299,A,22212,-116341,-2219,,G,H,C,20081,-1239,J,B,1231,-8150,-7434,45499,-101,3716,122466,23804,29482,-1831,16479,-1517,88397,54433,,10036,D,-6487,-822,24020,123,B,N,0
-34540,K,1447,7646,4251,-42228,-18,D,-8578,B,1038,F,-10943,37009,-1911,-7559,-5547,-316,-11393,D,A,C,9872,A,-27394,P,E,-31357,13823,62786,695,13637,-8939,G,29483,A,19432,-102417,-1944,1344,G,D,C,18220,,J,B,1064,-7032,-6880,40180,-408,3290,108467,20901,26017,-1680,14596,-1246,78050,48573,23811,9205,D,-5869,-939,21227,233,B,E,0
-19774,A,761,4327,2527,-24140,4,E,-4885,B,644,M,-6472,21209,-879,-4052,-3128,,-6485,D,F,E,5553,A,-15350,J,E,-17780,7925,35821,-76,7746,-5016,A,17031,A,11137,-58424,-1138,708,D,E,A,10220,-679,C,,572,-4133,-3956,22967,-495,1901,61908,12238,14863,-1069,8358,-658,44497,,13417,5225,A,-3444,-515,12410,279,C,B,0
-5647,I,305,1229,537,-6871,-162,A,-1670,A,98,,-1856,5875,-520,-1093,-870,224,-1710,B,I,E,1158,A,-4579,N,B,-5186,2453,9780,390,2042,-1415,H,4777,A,2870,-16813,,108,B,,G,2774,-327,L,B,-14,-1077,-1320,6498,-269,722,17743,2566,4723,-577,2477,-240,12699,7397,3705,1497,A,-1095,-192,3303,315,I,P,0
-38030,K,1421,8218,4831,-46451,,D,-9671,B,1124,F,-12237,40824,-2052,-8473,-6110,113,-12560,D,F,C,10591,A,-30345,H,F,,15070,68830,803,15041,,G,32239,A,21514,-112614,-2261,1543,,H,C,19830,-1364,J,B,1084,-7878,-7480,43738,-323,3575,118949,22813,28569,-1982,16150,,85446,52903,25899,10046,D,-6430,-1029,23292,107,B,N,0
15385,B,-656,-3304,-1873,18073,-359,A,3632,A,-491,L,5005,-15605,1718,4849,2271,450,4840,B,E,A,-4499,A,11583,B,A,13362,-5625,,-469,-5899,2908,I,-12424,D,-8182,44408,478,-729,J,J,G,-7248,590,E,A,-719,3487,2182,-16840,-994,-1029,-45116,-8585,-10799,241,-6668,418,,-18873,-9676,-3460,B,2231,388,-9199,218,D,D,0
-1686,I,6,302,,-1993,,A,-493,A,-51,H,-594,2010,-111,195,-450,434,,B,A,E,259,A,-1654,A,A,-1823,1152,,124,586,-794,H,1553,A,1040,-5556,-73,-125,B,L,G,1273,-113,,B,33,-264,-870,2385,-535,485,6458,926,1780,-421,851,-13,4707,3188,1588,835,A,-621,-46,941,140,J,P,0
11304,B,-278,-2500,-1261,13324,-2,A,2878,A,-294,L,3722,-12020,1126,2952,1580,121,3752,B,M,A,-3586,A,9247,B,A,10216,-4790,-19519,-933,,2178,I,-9044,D,-5980,33366,211,-310,J,J,G,-5675,443,E,A,-504,2653,1793,-12931,-269,-749,-34402,-6114,-8528,476,-5061,496,-24855,-14717,-7571,-2630,B,1817,201,-6828,300,D,D,0
-41735,K,1657,9179,5343,-50775,-181,D,-10514,B,1018,N,-13289,44500,-2370,-9460,-6512,-58,-13618,D,G,C,11811,B,-32860,,E,-37690,16271,74958,608,16264,-10218,G,35194,A,23357,-122926,-2205,1620,G,H,C,21605,-1180,J,B,1254,-8619,-7938,48098,-111,3693,129606,25293,31211,-2017,17723,,93303,57727,,10980,D,-6880,-1122,25358,207,B,,0
-20077,,634,4196,2646,-24401,81,E,-5004,B,600,,-6390,21222,-1118,-4598,-3226,-114,-6393,D,F,E,5524,A,-15573,J,B,-18055,7538,35879,-145,7731,-4910,A,17305,D,11340,-58660,-1173,1022,D,E,A,10236,-558,C,B,694,-4108,-3690,23015,-98,1983,62056,12432,14653,-907,8297,-721,44597,27772,13462,5103,A,-3148,-630,12226,143,C,B,0
,H,-1249,-7011,-4062,38424,-113,C,7969,C,-847,D,10212,-34003,2175,7535,4779,550,10383,A,E,A,-9530,,25420,G,G,28902,-13036,-57164,-753,-12756,7454,E,-26463,D,-17515,94214,1583,-959,F,A,E,,,P,A,-943,6819,5874,-36723,222,-2317,-98947,-18820,-23966,1298,,1210,-71099,-43565,-21657,-8292,B,5205,826,-19326,269,A,O,0
-41528,K,1642,9034,5243,-50651,-153,D,-10488,B,1130,F,-13525,,-2526,-9510,-6537,38,,D,,C,11839,B,-33090,H,E,-37651,16744,74553,761,16372,-10304,G,35088,A,23112,-122927,-2267,1415,G,H,C,21426,-1343,J,B,1085,-8717,-8202,47908,-263,3673,129383,24610,31325,-2124,17762,-1504,93025,57362,28295,10831,D,-6995,-1096,25414,341,B,N,0
13576,B,-373,-3005,-1780,16156,,A,3222,A,-264,L,4188,-14104,1080,,2111,512,4293,B,E,A,-4153,A,10238,B,A,12052,-5173,-23365,-53,-5325,2850,I,-10993,D,-7529,39019,559,-596,J,J,G,-6566,450,G,A,-446,2844,2072,-15126,-304,-824,-40582,-8287,-9644,222,-5668,525,-29483,-17561,-8820,-3140,B,2098,353,-8272,328,D,D,0
15246,B,-508,-3323,-1894,18700,-307,A,3656,A,-327,L,4982,-16307,,3620,,642,5061,B,F,A,-4612,A,11714,B,A,13526,-5813,-27293,76,-6110,3482,I,-12736,D,-8600,44595,1006,-960,,J,G,-7816,599,G,A,-524,3396,2508,-17506,,-1020,-46932,-9769,-10908,393,-6464,444,-33617,-20930,-10359,-3632,B,2600,263,-9355,308,D,D,0
35524,H,-1357,-7913,-4379,42935,-184,C,8982,C,-1045,D,11433,-37696,2734,8808,5401,247,11493,A,H,A,-10425,A,28019,G,A,,-14256,-63193,-1040,-14134,8103,E,-29527,D,-19631,104619,1634,-1227,E,K,E,-17966,1079,P,A,-1084,7648,6410,-40755,-96,,-109226,-20877,-26316,1489,-15483,1441,,-47791,-23781,-8990,B,5740,902,-21654,59,H,O,0
,B,-385,,-1204,12876,21,A,2676,A,-275,L,3404,-11422,768,2625,1523,183,3505,B,I,A,-3294,A,8453,A,A,9888,-4574,-18959,-446,-4352,2316,I,-8821,D,-5791,31607,489,-493,J,,G,-5328,207,E,A,-448,2356,1884,-12231,-90,-750,-32957,-6203,-8034,363,-4773,557,-23859,-14251,-7178,-2641,B,1790,272,-6503,159,D,D,0
-2117,I,103,549,466,-2994,-218,A,-722,A,-55,K,-839,2835,205,504,-415,218,-843,B,F,E,484,A,-2051,N,A,-2324,1156,5230,287,998,-1193,H,2185,A,1471,,-262,-150,B,L,G,1791,-136,L,B,-31,-340,-899,3185,-554,539,8572,1121,2424,-349,923,-170,5954,4501,1931,1119,A,-682,-238,,279,I,P,0
-10904,I,,2454,1354,-13592,-206,E,-2720,A,190,K,-3465,12004,-251,-1944,-1762,219,-3769,B,D,E,2971,A,-8625,N,B,-10234,4360,20358,,4238,-3233,H,,A,6354,-32544,-700,237,B,E,A,5715,-459,C,B,119,,-2587,12954,-405,1232,35272,6814,8842,,4695,-434,25322,16112,7808,3193,,-1944,-148,6873,431,I,P,0
,A,540,2833,1563,-15975,-171,E,-3393,A,430,K,-4159,13962,-875,-2824,-2127,429,-4571,B,D,E,3555,A,-10619,N,B,-11836,5535,23450,684,5272,-3365,H,10946,A,,-38915,-608,24,B,E,A,6794,-546,L,B,438,-2669,-2731,15075,-115,1472,,7244,10290,-633,5687,-570,29537,18085,8872,3647,A,-2398,-395,7980,198,I,B,0
